frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
147,2444,266.94,120.72,0.437,6.01,0.646,457,6.86,63,1,291.30,78.30,0.149
148,2458,267.17,120.71,0.439,5.78,0.635,494,4.08,63,1,290.73,79.64,0.143
149,2455,267.24,120.76,0.438,5.78,0.643,462,5.73,61,1,290.33,79.92,0.137
150,2440,267.51,120.89,0.443,5.86,0.640,488,5.52,60,1,289.80,80.30,0.139
151,2427,267.24,121.30,0.447,5.85,0.639,513,6.71,60,1,289.83,80.67,0.139
152,2450,266.92,121.26,0.446,5.27,0.625,499,6.47,58,1,289.50,81.12,0.133
153,2434,267.18,121.32,0.450,5.38,0.640,483,7.49,58,1,289.60,81.20,0.131
154,2446,265.76,121.96,0.443,5.81,0.642,464,16.33,49,1,289.60,81.10,0.137
155,2432,265.54,122.18,0.449,5.80,0.653,501,7.19,47,1,289.25,81.12,0.135
156,2470,264.75,122.14,0.450,5.18,0.640,478,6.63,48,1,288.36,81.91,0.134
157,2431,264.37,122.31,0.450,5.80,0.650,498,7.20,44,1,288.25,81.12,0.131
158,2455,263.61,122.24,0.447,5.38,0.638,478,6.88,44,1,287.22,81.67,0.126
159,2452,263.48,122.08,0.454,5.18,0.640,463,7.87,42,1,287.64,81.73,0.126
160,2453,262.45,122.43,0.450,5.38,0.643,485,6.36,41,1,287.67,82.17,0.126
161,2438,262.13,122.32,0.451,5.66,0.626,491,7.82,39,1,286.17,82.75,0.130
162,2455,261.36,122.52,0.451,5.42,0.643,474,7.36,39,1,286.70,82.00,0.128
163,2435,260.68,122.63,0.445,6.04,0.640,468,6.49,37,1,286.73,81.91,0.131
164,2432,260.11,122.68,0.449,5.55,0.640,449,7.25,34,1,285.73,82.36,0.127
165,2429,259.66,122.62,0.446,5.68,0.657,467,7.56,35,1,285.62,82.00,0.131
166,2419,259.40,122.82,0.457,5.66,0.653,472,8.23,30,1,285.50,81.90,0.125
167,2423,258.50,122.70,0.447,5.82,0.658,456,6.78,31,1,285.92,82.08,0.125
168,2418,258.22,122.60,0.451,6.04,0.650,461,7.36,33,1,285.44,81.56,0.124
169,2421,257.47,122.62,0.447,5.66,0.650,457,7.29,32,1,285.22,81.89,0.127
170,2435,257.08,122.73,0.452,5.34,0.653,447,6.07,28,1,284.38,81.50,0.122
171,2424,256.64,122.55,0.449,5.61,0.659,479,6.88,33,1,284.40,82.50,0.127
172,2424,256.11,122.62,0.451,5.20,0.668,462,7.47,29,1,284.58,82.33,0.123
173,2405,255.92,122.50,0.450,5.65,0.658,488,6.69,31,1,284.80,81.90,0.131
174,2425,255.25,122.53,0.449,5.73,0.665,477,8.64,30,1,284.91,81.18,0.121
175,2404,255.07,122.52,0.451,5.70,0.672,441,5.91,29,1,285.29,80.71,0.120
176,2413,254.42,122.55,0.446,5.97,0.677,453,8.39,28,1,285.43,80.57,0.124
177,2403,254.45,122.58,0.456,5.70,0.670,443,5.96,27,1,285.57,80.43,0.124
178,2391,253.98,122.46,0.449,5.77,0.671,452,5.75,28,1,285.30,80.70,0.125
179,2403,253.44,122.47,0.443,5.78,0.685,442,10.36,27,1,284.44,81.00,0.127
180,2398,253.18,122.51,0.444,5.59,0.687,439,5.39,28,1,284.50,80.12,0.121
181,2393,253.30,122.34,0.448,5.81,0.692,440,4.69,34,1,284.18,81.18,0.124
182,2419,253.05,121.97,0.444,5.58,0.688,450,5.65,117,1,284.17,80.25,0.130
183,2424,252.71,122.03,0.446,5.36,0.699,440,4.32,117,1,284.73,80.18,0.131
184,2406,253.01,122.04,0.453,5.40,0.696,432,4.85,116,1,285.44,80.33,0.123
185,2396,252.71,121.97,0.445,5.68,0.706,444,4.40,115,1,284.88,80.12,0.129
186,2386,252.76,121.81,0.444,5.87,0.716,440,3.94,114,1,286.40,79.50,0.120
187,2400,252.39,121.84,0.440,6.04,0.710,442,4.49,113,1,285.30,80.40,0.127
188,2408,252.23,121.80,0.441,5.90,0.708,470,4.00,112,1,285.79,79.93,0.136
189,2402,252.25,121.65,0.439,5.95,0.709,441,3.83,111,1,285.75,79.42,0.131
190,2411,252.48,121.53,0.440,5.89,0.717,435,3.55,111,1,285.77,79.15,0.130
191,2428,252.61,121.52,0.444,5.48,0.700,459,3.29,111,1,285.45,79.36,0.133
192,2419,252.54,121.50,0.442,5.50,0.719,435,3.92,110,1,286.27,79.45,0.143
193,2415,252.69,121.35,0.442,5.76,0.723,465,3.26,109,1,286.30,79.70,0.143
194,2393,253.02,121.45,0.449,6.02,0.724,446,3.76,108,1,286.82,79.91,0.139
195,2415,252.92,121.39,0.441,5.67,0.723,449,4.23,107,1,287.70,79.40,0.135
196,2410,253.12,121.31,0.439,5.64,0.714,453,3.30,107,1,288.00,78.44,0.138
197,2422,253.24,121.29,0.440,5.74,0.719,456,3.74,106,1,287.29,78.71,0.141
198,2429,253.47,121.18,0.440,5.52,0.718,458,3.68,105,1,287.64,79.07,0.146
199,2420,253.53,121.27,0.437,5.54,0.714,444,2.97,104,1,287.85,78.69,0.147
200,2427,253.83,121.14,0.437,5.60,0.726,470,3.53,87,1,288.20,77.90,0.145
201,2429,254.03,121.11,0.436,5.43,0.714,446,3.80,82,1,287.38,78.25,0.143
202,2423,254.14,121.06,0.436,5.61,0.724,447,2.68,78,1,287.60,78.40,0.141
203,2418,254.09,121.22,0.435,5.67,0.723,455,2.89,77,1,288.10,78.30,0.147
204,2429,254.53,120.97,0.435,5.60,0.726,453,3.61,74,1,288.10,78.30,0.143
205,2428,254.80,120.88,0.434,5.56,0.724,444,2.72,72,1,288.33,78.78,0.144
206,2434,255.01,120.84,0.433,5.63,0.727,457,3.40,70,1,288.64,79.00,0.147
207,2426,255.10,120.86,0.432,5.94,0.723,479,2.92,68,1,289.23,78.85,0.151
208,2430,255.31,120.87,0.432,5.84,0.723,485,3.40,66,1,289.13,79.40,0.154
209,2436,255.42,120.84,0.433,5.58,0.732,457,2.92,64,1,289.38,79.31,0.149
210,2429,255.66,120.88,0.432,5.48,0.745,463,2.48,62,1,289.00,79.57,0.152
211,2438,255.72,120.87,0.431,5.95,0.737,463,3.27,61,1,288.55,79.55,0.151
212,2442,255.81,120.88,0.431,5.73,0.724,495,3.07,60,1,288.50,79.50,0.154
213,2446,255.95,120.86,0.431,5.52,0.723,477,2.11,58,1,288.18,79.45,0.149
214,2457,255.92,120.91,0.432,5.37,0.724,475,2.93,57,1,288.10,79.20,0.150
215,2464,256.05,120.74,0.434,5.24,0.709,443,3.08,56,1,288.33,79.42,0.150
216,2464,255.94,120.84,0.433,5.40,0.712,451,2.56,54,1,287.67,79.33,0.150
217,2450,256.15,120.81,0.435,5.51,0.702,438,3.36,53,1,287.50,79.60,0.155
218,2442,256.16,120.80,0.433,5.86,0.739,450,2.82,51,1,287.75,79.50,0.154
219,2460,255.74,120.89,0.430,5.53,0.703,470,3.61,49,1,288.33,79.53,0.152
220,2475,255.65,120.80,0.431,5.29,0.725,470,3.86,49,1,287.09,79.18,0.149
221,2469,255.37,120.96,0.430,5.22,0.699,458,3.18,48,1,286.83,79.17,0.150
222,2460,255.52,120.91,0.434,5.20,0.711,468,3.31,47,1,286.54,79.23,0.151
223,2454,254.95,120.90,0.427,5.54,0.716,475,10.20,45,1,286.58,79.00,0.154
224,2469,254.73,121.02,0.429,5.18,0.711,499,3.94,44,1,286.56,78.78,0.156
225,2455,254.37,121.08,0.428,5.25,0.711,495,5.14,43,1,286.31,79.31,0.156
226,2471,253.84,121.18,0.429,5.02,0.694,491,9.14,42,1,285.60,79.20,0.153
227,2447,253.68,121.25,0.431,5.39,0.730,482,5.77,41,1,285.50,79.42,0.156
228,2457,252.79,121.32,0.427,5.41,0.709,473,7.84,40,1,284.50,79.20,0.152
229,2453,252.80,121.19,0.432,5.22,0.712,502,6.62,39,1,284.50,79.42,0.153
230,2459,251.73,121.43,0.427,5.25,0.713,473,7.90,38,1,283.50,79.20,0.154
231,2462,251.30,121.16,0.427,5.40,0.706,504,8.22,37,1,282.90,79.30,0.150
232,2451,250.71,121.42,0.430,5.43,0.717,477,6.65,36,1,282.62,79.46,0.149
233,2469,249.95,121.33,0.428,5.06,0.709,494,5.15,36,1,282.08,79.58,0.149
234,2464,249.29,121.26,0.427,5.24,0.701,511,5.40,36,1,280.45,79.45,0.149
235,2460,248.87,121.23,0.432,5.08,0.711,483,9.52,34,1,280.50,79.58,0.150
236,2453,247.71,121.46,0.426,5.42,0.711,473,4.81,32,1,279.33,79.25,0.145
237,2459,246.99,121.39,0.426,5.12,0.721,480,4.54,33,1,278.87,79.13,0.149
238,2464,246.13,121.37,0.427,5.15,0.724,482,4.33,32,1,278.57,79.64,0.149
239,2457,245.65,121.40,0.432,5.37,0.705,467,10.15,31,1,277.64,79.36,0.144
240,2462,244.66,121.41,0.428,5.32,0.719,486,4.10,31,1,277.46,79.62,0.139
241,2449,243.64,121.50,0.426,5.31,0.709,472,4.19,30,1,276.67,79.53,0.142
242,2446,242.77,121.48,0.427,5.56,0.733,488,4.59,29,1,275.73,79.18,0.147
243,2432,242.10,121.53,0.431,5.76,0.731,485,3.94,29,1,276.27,79.09,0.145
244,2446,241.19,121.57,0.433,5.52,0.703,440,4.18,28,1,275.27,78.91,0.139
245,2451,240.38,121.46,0.429,5.47,0.719,467,5.29,28,1,274.82,79.45,0.145
246,2438,239.79,121.56,0.433,5.66,0.720,473,6.45,28,1,274.55,78.91,0.144
247,2442,239.07,121.47,0.429,5.77,0.726,482,6.89,27,1,273.92,79.33,0.144
248,2429,238.93,121.49,0.438,5.64,0.728,458,7.01,28,1,273.44,79.22,0.141
249,2436,238.35,121.51,0.436,5.58,0.713,459,8.92,27,1,273.17,79.17,0.138
250,2430,237.99,121.60,0.436,5.60,0.707,439,3.87,27,1,273.36,79.18,0.137
251,2430,237.95,121.51,0.436,5.72,0.714,424,3.87,28,1,273.20,79.30,0.137
252,2433,237.84,121.48,0.433,5.63,0.714,463,4.15,28,1,273.20,79.30,0.138
253,2429,238.10,121.35,0.434,5.60,0.723,442,4.58,29,1,273.00,79.27,0.136
254,2405,238.03,121.63,0.436,5.86,0.717,449,5.71,32,1,273.60,79.10,0.136
255,2413,238.36,121.39,0.433,6.05,0.722,474,5.73,45,1,273.17,78.33,0.142
256,2434,238.81,121.37,0.439,5.18,0.722,451,6.35,44,1,273.64,79.79,0.137
257,2421,239.38,121.33,0.443,5.41,0.710,465,9.46,43,1,274.58,79.08,0.136
258,2417,239.80,121.19,0.438,6.04,0.711,450,7.56,43,1,274.14,78.86,0.139
259,2425,240.30,121.14,0.440,5.90,0.713,462,7.17,42,1,275.00,79.00,0.136
260,2427,240.99,121.13,0.441,5.64,0.711,458,6.15,41,1,275.78,79.00,0.136
261,2413,241.65,121.13,0.440,5.88,0.708,473,5.70,39,1,276.45,79.18,0.140
262,2413,242.48,121.07,0.440,6.22,0.701,459,5.32,38,1,277.62,78.88,0.137
263,2418,243.55,121.06,0.448,5.71,0.700,456,6.06,37,1,276.80,79.10,0.133
264,2425,244.35,121.10,0.451,5.48,0.693,436,4.72,36,1,278.25,79.08,0.137
265,2424,245.10,121.10,0.447,5.69,0.675,442,4.87,35,1,278.89,79.00,0.132
266,2421,246.10,120.98,0.447,5.74,0.692,469,5.03,34,1,279.36,79.27,0.134
267,2420,247.38,120.95,0.454,5.50,0.679,474,5.43,33,1,280.10,79.30,0.134
268,2430,248.20,120.92,0.451,5.72,0.687,444,4.59,32,1,281.00,79.54,0.137
269,2418,249.26,120.89,0.451,5.79,0.683,462,4.04,31,1,282.31,79.54,0.137
270,2425,250.64,120.80,0.459,5.57,0.682,458,5.50,30,1,283.36,79.45,0.137
271,2426,251.51,120.77,0.455,5.73,0.672,461,3.92,29,1,283.75,79.50,0.135
272,2410,252.96,120.71,0.460,5.81,0.671,450,4.53,28,1,284.22,79.11,0.136
273,2426,253.84,120.82,0.458,5.81,0.683,462,4.21,27,1,285.71,78.29,0.134
274,2428,254.91,120.78,0.459,5.68,0.689,450,3.48,26,1,286.33,78.17,0.136
275,2428,256.30,120.88,0.465,5.68,0.666,443,4.59,24,1,287.71,78.14,0.135
276,2434,257.26,120.80,0.461,5.96,0.673,446,3.32,23,1,288.50,78.17,0.136
277,2430,258.63,120.71,0.467,5.80,0.673,451,3.63,22,1,289.33,78.67,0.136
278,2438,259.78,120.62,0.470,5.54,0.665,491,3.71,21,1,289.56,78.67,0.139
279,2455,260.66,120.72,0.469,5.54,0.657,441,3.02,20,1,290.58,78.33,0.137
280,2451,261.73,120.51,0.467,5.55,0.661,446,3.52,19,1,291.60,77.90,0.139
281,2419,262.78,120.51,0.469,5.95,0.656,439,3.63,18,1,291.92,78.58,0.141
282,2437,263.82,120.35,0.471,5.79,0.663,468,2.60,17,1,292.89,78.22,0.141
283,2431,264.63,120.36,0.471,5.80,0.668,433,3.31,16,1,293.44,78.56,0.142
284,2443,265.22,120.43,0.468,5.69,0.662,441,3.86,15,1,294.75,78.12,0.140
285,2442,265.81,120.34,0.470,5.86,0.678,450,6.30,14,1,294.00,79.00,0.140
286,2434,267.06,120.18,0.479,5.59,0.654,493,7.12,14,1,294.56,78.78,0.140
287,2432,266.84,120.35,0.466,6.21,0.662,445,6.14,12,1,296.44,77.67,0.140
288,2421,267.35,120.19,0.474,5.78,0.672,441,11.31,12,1,296.15,78.23,0.143
289,2447,266.86,120.22,0.470,5.60,0.663,444,4.34,11,1,295.90,78.50,0.144
290,2420,266.53,120.14,0.472,6.07,0.662,443,9.36,10,1,295.44,77.89,0.144
291,2441,265.10,119.92,0.468,5.90,0.670,442,5.33,9,1,294.67,77.44,0.142
292,2440,263.35,119.81,0.469,5.78,0.675,467,4.84,8,1,293.89,77.67,0.144
293,2443,260.56,119.89,0.471,5.73,0.684,473,7.00,7,1,291.75,77.50,0.144
