frame,area,cx,cy,solidity,hole_pct,closure,spine_px,shape_rate_pct,half_life,head_found,head_x,head_y,weber
89,1897,193.96,125.64,0.448,4.74,0.500,408,56.63,1,1,231.56,129.44,0.327
90,1882,189.66,135.45,0.431,5.15,0.692,428,63.38,1,1,233.25,128.50,0.277
91,1916,188.59,145.84,0.459,4.70,0.799,426,61.84,1,1,242.50,127.00,0.175
92,1855,197.53,156.77,0.472,4.80,0.815,396,72.43,1,1,241.38,127.62,0.119
93,1765,211.90,165.93,0.500,5.78,0.778,404,74.61,1,1,240.57,128.00,0.176
94,1651,232.29,169.85,0.573,6.06,0.814,349,81.88,1,1,240.09,128.73,0.174
95,1570,254.25,167.65,0.712,6.18,0.819,380,85.09,1,1,238.00,129.71,0.099
96,1726,272.35,164.97,0.922,5.39,0.868,354,78.15,1,1,237.33,131.00,0.103
97,1811,284.40,161.27,0.891,5.58,0.859,440,63.33,7,1,237.78,131.56,0.102
98,1829,290.03,158.01,0.902,5.52,0.835,444,42.22,6,1,238.55,131.18,0.103
99,1834,289.99,157.93,0.903,5.34,0.843,427,1.79,5,1,238.58,131.00,0.105
100,1833,289.75,158.13,0.915,4.86,0.859,421,8.51,4,1,250.53,137.47,0.097
101,1841,290.20,158.46,0.919,4.89,0.857,432,3.63,3,1,238.69,131.31,0.095
102,1833,290.03,158.99,0.904,5.13,0.826,422,10.13,2,1,238.50,132.00,0.091
103,1845,290.18,159.46,0.921,4.55,0.858,410,10.31,1,1,238.69,132.31,0.081
104,2740,311.54,180.12,0.501,3.43,0.850,500,82.10,4,1,245.23,136.85,0.308
105,2721,310.92,179.45,0.530,3.38,0.860,500,21.01,3,1,238.33,133.67,0.301
106,2731,310.70,179.56,0.561,3.48,0.849,495,23.62,3,1,238.55,135.27,0.295
107,2726,309.73,178.87,0.598,3.34,0.608,508,26.38,3,1,244.71,138.93,0.289
108,2683,308.17,178.14,0.628,3.65,0.835,523,24.84,43,1,238.69,137.31,0.269
109,2517,305.19,176.76,0.624,4.01,0.840,489,27.30,47,1,246.91,143.36,0.222
110,2444,303.10,175.34,0.629,3.56,0.843,449,23.45,46,1,246.55,144.36,0.222
111,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,45,1,246.55,144.36,0.222
112,2444,303.10,175.34,0.629,3.56,0.843,449,0.00,44,1,246.55,144.36,0.222
